time,speed,gradient
1115.97,19.2,0.0159987
1120.96,19.2,0.0821676
1126.45,19.2,0
1131.37,19.2,-0.305448
1135.89,19.2,-0.177596
1139.07,19.2,-0
1142.95,19.2,-0.103334
1146.78,19.2,-0
1150.88,19.2,-0.059928
1154.64,19.2,0.098045
1157.98,19.2,-0.363979
1160.65,19.2,-0
1163.08,19.2,0.446106
1165.83,19.2,0.0644265
1169.18,19.2,0
1172.71,19.2,-0.237836
1174.05,19.2,-0
1176.57,19.2,0.240773
1181.89,19.2,-0.0334448
1184.74,19.2,-0
1188.14,18.6,0.497615
1191.41,18.6,-0
1193.16,18.6,-0
1201.71,18.6,0.00868855
1210.37,18.6,-0.690446
1211.97,18.9,-0
1218.09,18.9,-0.0245565
1223.39,18.9,-0.161967
1226.3,18.9,-0.0794782
1228.75,18.9,-0
1235.81,18.9,-0.0436004
1237.93,20.3,-0
1240.47,20,0
1243.57,20,0.124355
1245.54,20,-0
1247.86,20,0
1250.21,20,0
1252.04,20,-0.0190454
1253.52,20,-0
1254.79,20.6,-0
1257.52,20.6,0
1260.03,20.6,0.189199
1262.34,20.6,-0
1264.75,20.6,1.07524
1267.07,20.6,-0
1270.64,20.6,0.0853951
1274.01,20.6,-0
1276.67,20.6,0.630034
1279.8,20.6,0
1281.15,20.3,-0
1281.94,20,-0
1284.3,20,0.149046
1286.31,20,-0
1288.77,19.7,0
1291.11,19.7,-0.244978
1291.7,19.2,-0
1295.64,19.4,-0.0580387
1298.73,18.9,0.016215
1302.37,18.9,-0.102444
1304.77,18.9,-0
1307.04,18.9,-0
1309.24,18.9,-1.07145
1312.1,18.9,0
1313.97,18.9,-0
1315.87,18.9,1.30163
1319.12,18.9,0.0396616
1322.33,19.2,0
1325.25,19.2,-0.927295
1325.83,19.2,-0
1328.09,19.7,0
1331.89,19.7,-0.223192
1334.07,20.3,-0
1336.86,20.3,0
1339.44,20.3,-0
1341.66,20.3,-0
1345.01,20.3,0.225534
1347.44,20.3,-0
1349.93,20.3,-1.344
1351.99,20.3,-0.113151
1356.58,20.3,0.0369482
1358.64,20.3,-0
1363.89,20.3,0.00938937
1366.01,20.3,-0
1370.66,20,0.060048
1374.77,20,-0
1381,20,0.0564107
1385.37,19.4,0.0792383
1391.38,19.4,0.0765373
1401.65,19.4,-0.0145268
1406.61,19.4,-0
1413.24,19.4,0.0739391
1419.32,19.4,0.00943426
1423.2,19.4,-0.0560161
1428.86,19.4,0.351103
1431.41,20,-0
1433.91,20,-1.46014
1435.47,20.3,-0
1438.31,20.8,0
1440.98,20.8,-0.812419
1446.76,20.8,-0.141033
1450.89,20.8,-0
1453.31,20.8,-0.291457
1461.99,21.1,-0.0195611
1466.53,21.9,0.133336
1471.1,21.9,-1.48625
1475.11,21.9,-0.130403
1477.61,21.9,-0
1479.76,21.9,-0.585113
1482.64,21.9,-0.246422
1485.65,21.9,1.36934
1488.47,20.8,-0
1491.11,20.8,-1.13278
1493.94,20.8,0
1496.64,20.8,0.821098
1499.02,20.8,-0
1502.12,20.8,0
1505,20.8,0.893881
1508.52,20.8,0.35299
1511.68,20.8,-0
1515.15,20.8,-0.770015
1517.96,20.8,-0
1520.45,20.8,-0
1523.4,20.8,0.09066
1526.52,20.8,0.674741
1529.43,20.8,-0.679908
1532.82,20.8,0
1536.51,18.6,0.962106
1537.6,18.6,-0
1539.7,18.6,0
1540.76,18.6,-0.174376
1542.95,18.6,0.0480399
1550.48,18.6,-0.00201002
1555.88,18.6,-0.0201993
1559.02,18.6,0.0427294
1561.18,18.6,-0
1563.32,18.6,-0
1566.19,18.6,0.132552
1567.93,18.6,-0
1568.7,18.9,-0
1569.68,18.9,0
1570.6,18.9,-0
1574.09,19.4,0.175008
1577.28,19.4,-0
1580.89,19.4,-0.0374828
1584.73,19.4,0.297064
1585.87,19.2,0.0974348
1589.29,19.7,0
1592.52,19.7,-0.493941
1595.49,19.7,-0
1598.5,19.7,-1.10715
1601.97,19.7,0
1605.57,19.4,0.909754
1609.17,19.4,-0
1610.75,19.4,-0
1613.68,19.2,-0.0398196
1616.83,19.2,0
1619.12,19.2,-0.328919
1622.44,19.2,0
1626.83,19.2,0.150082
1631.74,19.2,-0.100669
1633.23,19.7,-0
1633.72,19.7,-0
1652.48,16.1,0.0406752
1654.32,16.1,0.0198212
1658.87,16.1,0
1668.35,16.1,0.0113345
1672.33,7.2,-0.0257799
1674.73,18.9,0
1675.45,18.9,-0
1679.87,18.9,0.112541
1680.57,18.9,-0
1681.26,18.9,-0
1683.49,18.9,0
1686.95,18.9,0.137652
1689.17,18.9,-0
1691.87,18.9,0
1693.56,18.9,0.0105258
1696.12,18.9,0
1700.27,18.9,0.023407
1704.57,18.9,0
1707.99,18.9,-0.556983
1711.24,18.9,-0
1721.38,18.9,-0.0498436
1730.47,18.9,0.0198976
1736.16,18.9,-0.00155773
1741.93,18.9,-1.24905
1746.12,18.9,0.10331
1747.91,23.1,-0
1751.83,23.1,0.126846
1755.29,23.1,-0
1758.53,23.1,-0.681606
1763.08,23.1,-0.237173
1772.86,23.1,-0.0768986
1775.93,23.1,-0
1777.52,23.1,0.0613262
1778.03,23.6,-0.166477
1779.08,23.3,0
1782.62,23.3,0
1784.29,23.3,0.115228
1785.98,23.3,0
1787.49,23.3,-0
1788.98,23.3,-0.982798
1791.34,23.3,0
1793.42,23.1,0.375641
1795.46,22.8,0.380506
1797.81,22.8,0
1800.57,22.8,0.288428
1802.31,22.8,-0
1803.63,22.8,-0
1805.21,22.8,0.0344712
1805.86,22.8,-0
1808.73,22.8,0
1810.9,22.8,0.0377183
1812.67,22.8,-0
1816.05,22.8,0.00812998
1818.95,22.8,-0.199159
1822.88,22.8,0.199881
1824.23,22.8,-0
1826.87,22.8,0
1829.1,22.8,-0.0975168
1831.68,22.8,0
1835.24,22.8,-0.0266606
1839.11,22.8,-0.792697
1842.57,22.8,-0.39557
1846.84,22.8,-0.0329546
1849.99,22.8,-0.0867382
1856.84,22.8,-0.049722
1864.84,22.8,0.393139
1867.84,22.5,-0
1870.49,22.5,0.739074
1872.68,22.5,-0.25169
1874.63,22.5,-0
1877.77,22.2,-0.0578504
1881.29,22.2,0.614663
1882.92,21.7,-0
1885.65,22.2,0
1890.1,22.2,-0.0157053
1893.43,22.2,-0.10404
1896.73,22.2,-0
1899.8,22.5,-0.870903
1902.71,22.5,1.16231
1906.21,22.5,-0.0609932
1915.71,22.5,0.080566
1919.39,22.8,-0
1921.93,22.8,-0.667162
1924.41,22.8,-0
1927.34,22.8,-0.615773
1930.27,22.8,-0
1933.79,22.8,-0.424392
1937.14,22.8,-1.30977
1940.37,22.8,1.40468
1943.45,22.8,-0
1949,22.8,0.0797594
1958.03,22.8,0.0352943
1963.77,22.2,-0.0677579
1966.33,22.5,-0
1970.33,22.5,0.182012
1973.02,22.2,0.0755141
1974.79,22.8,-0.224148
1977.62,22.8,0
1980.53,22.8,0
1983.43,22.8,-1.48014
1986.87,22.8,0
1990.51,22.8,1.21818
1995.8,22.8,0.211093
2003.92,22.8,0.0389818
2006.89,22.8,0.063906
2009.77,22.8,-0
2011.94,22.8,0.00621148
2014.01,22.8,-0.410127
2017.03,22.8,0.630729
2020.22,22.8,0
2022.33,22.8,-0.576661
2024.53,22.8,-1.49793
2026.7,22.8,-0
2028.93,22.8,1.50126
2031.29,22.8,0
2032.28,22.8,-0
2034.8,21.1,-0.462352
2037.76,21.1,0.12162
2040.71,21.1,-1.54858
2043.54,21.1,-0
2045.74,21.1,-0
2048,21.1,1.50139
2050.09,21.1,-0
2052.48,21.1,0
2054.23,21.1,0.579471
2056.93,21.1,0
2059.25,21.1,-0
2061.72,21.1,0.769006
2063.5,21.1,-0
2065.17,21.1,-0
2067.38,21.1,0.695593
2069.25,21.1,-0
2070.82,21.1,-0
2074.13,21.1,0.426013
2078.61,21.1,-0.316884
2080.3,21.1,-0
2081.68,21.1,-0
2083.48,21.1,0
2084.89,21.1,0.453844
2086.32,21.1,0
2087.91,21.1,0
2089.43,21.1,-1.48922
2090.89,21.1,1.52359
2092.34,21.1,-0
2093.75,20.8,-0
2094.72,20.8,-0
2095.95,20.8,0
2097.24,20.8,-1.43824
2098.43,20.8,-0
2099.94,19.7,1.23728
2101.27,19.7,-0
2102.53,19.7,-0
2103.6,19.7,-0
2104.47,19.7,-0
2105.4,19.7,0
2106.31,19.7,-0
2107.18,19.7,-1.54019
2108.02,19.7,1.55639
2109.18,19.7,0
2110.17,19.7,-0
2111.17,19.7,0
2112.25,19.7,0
2113.29,19.7,-0
2114.38,19.7,1.21781
2115.29,19.7,-0
2116.22,19.7,0
2117.24,19.7,0
2118.29,19.7,0
2119.42,19.7,0
2120.56,19.7,1.56059
2123.12,19.7,0
2124.53,19.7,-0
2125.75,19.7,-0
2127.06,19.7,1.45414
2128.33,19.7,-0
2129.02,19.7,-0
2129.69,19.7,-0
2130.33,19.7,-0
2130.98,19.7,0
2131.9,19.7,0
2132.88,19.7,0
2134.72,19.7,0.105489
2135.96,19.7,-0
2137.23,19.7,0
2138.43,19.7,1.52396
2139.62,19.7,-1.56445
2141.08,19.7,0
2142.81,19.7,0
2144.02,19.7,-0
2145.21,19.7,-0
2147.03,19.7,-1.0122
2148.19,19.7,-0
2150.38,19.7,0
2151.5,19.7,-0
2153.23,19.7,-0.415902
2155.76,19.7,1.31225
2158.1,19.7,-0
2161.35,15.8,-1.25092
2162.7,17.5,-0
